Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,15.956258,16.086134,15.909873,15.909873,8.770349,474943
2006-01-04,16.049026,16.086134,15.891320,15.909873,8.770349,435598
2006-01-05,16.067581,16.067581,15.854212,15.882043,8.755005,977590
2006-01-06,15.872766,15.882043,15.585182,15.677951,8.642499,1614441
2006-01-09,15.677951,15.882043,15.677951,15.687228,8.647614,623807
2006-01-10,15.677951,15.770720,15.603736,15.687228,8.647614,859015
2006-01-11,15.770720,15.909873,15.715059,15.789274,8.703867,554927
2006-01-12,15.882043,15.882043,15.761443,15.770720,8.693638,970583
2006-01-13,15.770720,15.863489,15.761443,15.770720,8.693638,485830
2006-01-16,15.863489,15.956258,15.770720,15.770720,8.693638,798435
2006-01-17,15.900597,15.937704,15.742889,15.789274,8.703867,540913
2006-01-18,15.826381,15.863489,15.789274,15.826381,8.724321,1856763
2006-01-19,15.798551,16.206734,15.798551,16.160351,8.908423,1371364
2006-01-20,16.188181,16.420103,16.169626,16.420103,9.051612,2215396
2006-01-23,16.308781,16.308781,15.835658,16.197456,8.928875,1050567
2006-01-24,16.327333,16.540703,16.216011,16.457211,9.072066,2136167
2006-01-25,16.512873,16.605640,16.382996,16.382996,9.031158,1647102
2006-01-27,16.512873,17.078762,16.503595,17.069485,9.409585,1253652
2006-01-30,17.069485,17.255022,16.967440,17.069485,9.409585,1218403
2006-01-31,17.143700,17.143700,16.652025,16.698410,9.205030,2050686
2006-02-01,16.874672,17.023102,16.652025,16.661303,9.184574,3189968
2006-02-02,16.698410,16.883947,16.531425,16.531425,9.112980,4070004
2006-02-03,16.318056,16.791178,16.132519,16.652025,9.179461,2713300
2006-02-06,16.540703,16.679855,16.512873,16.605640,9.153888,1832509
2006-02-07,16.512873,16.605640,16.429380,16.512873,9.102749,1593852
2006-02-08,16.373718,16.466488,16.345888,16.373718,9.026041,3004022
2006-02-09,16.466488,16.466488,16.178904,16.318056,8.995358,3594414
2006-02-10,16.327333,16.846840,16.318056,16.605640,9.153888,8081583
2006-02-13,16.716963,16.716963,16.410826,16.559256,9.128320,2121830
2006-02-14,16.596363,16.670580,16.420103,16.652025,9.179461,1148875
2006-02-15,16.679855,16.679855,16.512873,16.605640,9.153888,1374382
2006-02-16,16.466488,16.652025,16.410826,16.540703,9.118092,1192424
2006-02-17,16.420103,16.596363,16.420103,16.577810,9.138545,1032673
2006-02-20,16.596363,16.976715,16.512873,16.976715,9.358445,50419027
2006-02-21,18.182713,18.275482,17.524054,18.052835,9.951656,22512921
2006-02-22,18.043558,18.052835,17.681761,17.950790,9.895409,44106786
2006-02-23,17.774529,17.858021,17.514776,17.811638,9.818698,6300060
2006-02-24,17.672483,17.848743,17.672483,17.811638,9.818698,3382597
2006-02-27,17.765251,17.802361,17.691036,17.718868,9.767558,1778612
2006-02-28,17.626099,17.793083,17.607546,17.765251,9.793126,1919931
2006-03-01,17.644653,17.774529,17.644653,17.644653,9.726645,3045954
2006-03-02,17.644653,17.755976,17.542606,17.755976,9.788013,1738728
2006-03-03,17.691036,17.848743,17.681761,17.802361,9.813583,1139389
2006-03-06,17.533331,17.542606,17.394176,17.496222,9.644823,4713430
2006-03-07,17.366346,17.422007,17.310684,17.329239,9.552774,682017
2006-03-08,17.264299,17.329239,17.013824,17.060207,9.404468,1289979
2006-03-09,17.032377,17.171532,17.023102,17.134424,9.445383,913021
2006-03-10,17.134424,17.134424,17.069485,17.097317,9.424924,817622
2006-03-13,17.162254,17.496222,17.162254,17.477669,9.634600,1239531
2006-03-14,17.440561,17.533331,17.171532,17.236469,9.501635,1032780
2006-03-15,17.301409,17.347792,17.217916,17.255022,9.511863,772887
2006-03-16,17.394176,17.394176,17.208639,17.301409,9.537431,2113530
2006-03-17,17.301409,17.347792,17.180807,17.245747,9.506749,774397
2006-03-20,17.347792,17.551884,17.347792,17.440561,9.614141,1245998
2006-03-21,17.384899,17.440561,17.319962,17.375624,9.578342,1183801
2006-03-22,17.319962,17.366346,17.264299,17.329239,9.552774,1444880
2006-03-23,17.301409,17.347792,17.199362,17.264299,9.516977,851578
2006-03-24,17.347792,17.347792,17.125147,17.199362,9.481177,1200186
2006-03-27,17.162254,17.236469,17.115870,17.152977,9.455610,1053154
2006-03-28,17.097317,17.273577,17.097317,17.227192,9.496521,975541
2006-03-29,17.171532,17.338514,17.060207,17.301409,9.537431,1307657
