Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,12.310000,12.310000,12.150000,12.200000,8.380415,349328
2006-01-04,12.150000,12.270000,12.150000,12.180000,8.366678,721189
2006-01-05,12.150000,12.270000,12.090000,12.200000,8.380415,1186380
2006-01-06,12.240000,12.280000,12.160000,12.160000,8.352941,899637
2006-01-09,12.220000,12.280000,12.220000,12.240000,8.407892,325104
2006-01-10,12.240000,12.290000,12.200000,12.250000,8.414761,1103500
2006-01-11,12.240000,12.340000,12.210000,12.240000,8.407892,3296743
2006-01-12,12.220000,12.300000,12.150000,12.190000,8.373546,735486
2006-01-13,12.100000,12.130000,11.990000,12.000000,8.243031,774329
2006-01-16,11.990000,12.160000,11.960000,11.960000,8.215557,975328
2006-01-17,11.950000,12.020000,11.920000,11.950000,8.208686,921580
2006-01-18,11.790000,11.790000,11.470000,11.580000,7.954526,8021384
2006-01-19,11.680000,11.860000,11.430000,11.750000,8.071302,2636109
2006-01-20,11.970000,11.980000,11.700000,11.770000,8.085040,1315224
2006-01-23,11.550000,11.760000,11.500000,11.720000,8.050694,1016652
2006-01-24,11.810000,11.840000,11.610000,11.650000,8.002609,1269690
2006-01-25,11.650000,11.750000,11.600000,11.600000,7.968267,1922490
2006-01-27,11.610000,11.840000,11.610000,11.760000,8.078171,1761117
2006-01-30,11.710000,11.750000,11.520000,11.580000,7.954526,913487
2006-01-31,11.600000,11.760000,11.550000,11.550000,7.933917,1099903
2006-02-01,11.550000,11.640000,11.550000,11.600000,7.968267,1286832
2006-02-02,11.600000,11.610000,11.300000,11.320000,7.775927,1444879
2006-02-03,11.300000,11.480000,11.200000,11.370000,7.810273,1125886
2006-02-06,11.300000,11.420000,11.150000,11.390000,7.824011,1921968
2006-02-07,11.380000,11.600000,11.380000,11.480000,7.885834,3516334
2006-02-08,11.350000,11.420000,11.240000,11.300000,7.762187,971312
2006-02-09,11.390000,11.460000,11.300000,11.460000,7.872097,2023530
2006-02-10,11.460000,11.620000,11.120000,11.300000,7.762187,2110705
2006-02-13,11.200000,11.340000,11.000000,11.210000,7.700366,837258
2006-02-14,11.150000,11.320000,11.140000,11.320000,7.775927,1339824
2006-02-15,11.350000,11.550000,11.330000,11.430000,7.851487,1698947
2006-02-16,11.360000,11.490000,11.340000,11.450000,7.865225,1965029
2006-02-17,11.450000,11.450000,11.020000,11.100000,7.624804,1090577
2006-02-20,11.200000,11.440000,11.180000,11.420000,7.844618,1492020
2006-02-21,11.440000,11.530000,11.100000,11.250000,7.727843,2345395
2006-02-22,11.300000,11.720000,11.300000,11.600000,7.968267,2945117
2006-02-23,11.770000,11.990000,11.750000,11.950000,8.208686,2581252
2006-02-24,11.850000,12.100000,11.810000,11.990000,8.236163,2020870
2006-02-27,12.100000,12.310000,12.060000,12.200000,8.380415,1827605
2006-02-28,12.240000,12.240000,11.940000,12.050000,8.277377,2010280
2006-03-01,12.000000,12.050000,11.900000,11.950000,8.208686,2381166
2006-03-02,12.100000,12.560000,12.090000,12.560000,8.627709,1807704
2006-03-03,12.600000,12.900000,12.500000,12.900000,8.861260,2179842
2006-03-06,12.700000,12.860000,12.700000,12.830000,8.951964,1783439
2006-03-07,12.770000,12.770000,12.670000,12.670000,8.840330,2083096
2006-03-08,12.560000,12.700000,12.540000,12.700000,8.861260,890546
2006-03-09,12.660000,13.000000,12.660000,12.720000,8.875213,2059479
2006-03-10,12.770000,12.980000,12.750000,12.900000,9.000809,1202415
2006-03-13,12.960000,13.140000,12.960000,13.140000,9.168262,1269789
2006-03-14,13.140000,13.210000,12.980000,12.980000,9.056626,987476
2006-03-15,13.150000,13.300000,13.030000,13.120000,9.154308,754010
2006-03-16,13.570000,13.570000,13.400000,13.530000,9.440381,2833383
2006-03-17,13.650000,13.870000,13.520000,13.780000,9.614818,1525470
2006-03-20,13.750000,13.750000,13.150000,13.330000,9.300833,1393664
2006-03-21,13.350000,13.550000,13.350000,13.400000,9.349675,1425137
2006-03-22,13.550000,13.760000,13.430000,13.560000,9.461313,1288014
2006-03-23,13.590000,13.750000,13.560000,13.660000,9.531084,408341
2006-03-24,13.690000,13.690000,13.500000,13.560000,9.461313,686029
2006-03-27,13.510000,13.640000,13.470000,13.640000,9.517133,434480
2006-03-28,13.570000,13.570000,13.320000,13.380000,9.335720,773209
2006-03-29,13.230000,13.640000,13.210000,13.570000,9.468291,1090539
2006-03-30,13.750000,14.020000,13.600000,13.720000,9.572953,934167
2006-03-31,13.700000,13.780000,13.410000,13.780000,9.614818,1448257
2006-04-03,13.660000,13.980000,13.620000,13.980000,9.754362,855086
2006-04-04,14.000000,14.200000,14.000000,14.090000,9.831113,1000196
2006-04-05,14.190000,14.190000,13.750000,14.000000,9.768318,782448
2006-04-06,14.000000,14.560000,14.000000,14.540000,10.145095,1300128
2006-04-07,14.820000,14.820000,14.320000,14.620000,10.200915,1135885
2006-04-10,14.360000,14.540000,14.360000,14.470000,10.096253,799620
2006-04-11,14.630000,14.630000,14.220000,14.220000,9.921820,890323
2006-04-12,14.000000,14.290000,13.860000,14.000000,9.768318,1607084
2006-04-13,14.140000,14.390000,14.050000,14.300000,9.977640,756673
2006-04-18,14.400000,14.440000,14.190000,14.250000,9.942750,973836
2006-04-19,14.600000,14.600000,14.160000,14.350000,10.012527,1306061
2006-04-20,14.180000,14.200000,13.890000,13.940000,9.726453,1127488
2006-04-21,13.860000,14.160000,13.860000,14.050000,9.803205,1360056
2006-04-24,14.060000,14.170000,14.030000,14.150000,9.872978,475345
2006-04-26,14.240000,14.570000,14.010000,14.470000,10.096253,824991
2006-04-27,14.490000,14.500000,14.080000,14.080000,9.824137,1284782
2006-04-28,14.020000,14.730000,14.020000,14.730000,10.277669,1395245
2006-05-01,14.900000,15.130000,14.900000,15.030000,10.486987,1284795
2006-05-02,14.030000,14.580000,13.820000,14.000000,9.768318,6826687
2006-05-03,14.040000,14.170000,13.680000,13.850000,9.663659,4912739
2006-05-04,13.800000,13.850000,13.630000,13.780000,9.614818,3093167
2006-05-05,13.800000,13.940000,13.770000,13.900000,9.698543,1530971
2006-05-08,13.980000,13.980000,13.830000,13.880000,9.684586,1427997
2006-05-09,13.780000,13.780000,13.580000,13.680000,9.545041,3160930
2006-05-10,13.600000,13.870000,13.490000,13.770000,9.607837,1884409
2006-05-11,13.900000,13.940000,13.730000,13.900000,9.698543,1257217
2006-05-12,13.750000,13.760000,13.700000,13.720000,9.572953,2342110
2006-05-15,13.370000,13.560000,13.320000,13.450000,9.384562,1847342
2006-05-16,13.300000,13.970000,13.300000,13.740000,9.586905,2260676
