Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.661521,3.725598,3.661521,3.661521,1.357622,66345
2006-01-04,3.698136,3.716444,3.661521,3.679829,1.364411,60698
2006-01-05,3.707290,3.753059,3.670675,3.753059,1.391562,72391
2006-01-06,3.734751,3.743905,3.679829,3.679829,1.364411,66344
2006-01-09,3.698136,3.698136,3.652367,3.661521,1.357622,65100
2006-01-10,3.679829,3.707290,3.652367,3.652367,1.354228,84633
2006-01-11,3.698136,3.743905,3.661521,3.679829,1.364411,28119
2006-01-12,3.688982,3.707290,3.652367,3.652367,1.354228,61944
2006-01-13,3.661521,3.679829,3.624906,3.624906,1.344046,79489
2006-01-16,3.624906,3.670675,3.624906,3.643213,1.350834,156784
2006-01-17,3.670675,3.753059,3.643213,3.643213,1.350834,114045
2006-01-18,3.661521,3.698136,3.643213,3.670675,1.361016,82552
2006-01-19,3.670675,3.716444,3.643213,3.661521,1.357622,286277
2006-01-20,3.679829,3.698136,3.661521,3.670675,1.361016,87148
2006-01-23,3.661521,3.688982,3.661521,3.679829,1.364411,154464
2006-01-24,3.679829,3.698136,3.661521,3.679829,1.364411,77023
2006-01-25,3.698136,3.753059,3.679829,3.734751,1.384775,236554
2006-01-27,3.753059,3.798828,3.725598,3.798828,1.408533,126250
2006-01-30,3.798828,3.853751,3.734751,3.826289,1.418715,274425
2006-01-31,3.844597,3.844597,3.743905,3.835443,1.422109,120067
2006-02-01,3.826289,3.844597,3.789674,3.844597,1.425503,149772
2006-02-02,3.835443,3.844597,3.780520,3.807982,1.411927,107633
2006-02-03,3.789674,3.835443,3.707290,3.807982,1.411927,91392
2006-02-06,3.762213,3.835443,3.753059,3.835443,1.422109,37597
2006-02-07,3.835443,3.835443,3.762213,3.789674,1.405139,78969
2006-02-08,3.798828,3.835443,3.753059,3.835443,1.422109,154641
2006-02-09,3.826289,3.826289,3.725598,3.807982,1.411927,133330
2006-02-10,3.798828,3.798828,3.753059,3.753059,1.391562,102392
2006-02-13,3.753059,3.789674,3.753059,3.753059,1.391562,58115
2006-02-14,3.771367,3.835443,3.753059,3.835443,1.422109,147362
2006-02-15,3.835443,3.835443,3.753059,3.753059,1.391562,162098
2006-02-16,3.798828,3.817136,3.753059,3.817136,1.415321,59474
2006-02-17,3.807982,3.807982,3.743905,3.753059,1.391562,157978
2006-02-20,3.807982,3.807982,3.716444,3.716444,1.377987,58667
2006-02-21,3.780520,3.908674,3.780520,3.908674,1.449262,333696
2006-02-22,3.908674,4.027673,3.862905,3.981904,1.476414,227466
2006-02-23,4.027673,4.100904,3.936135,4.009366,1.486596,295579
2006-02-24,4.009366,4.018519,3.862905,3.991058,1.479808,142694
2006-02-27,3.972750,3.981904,3.936135,3.981904,1.497016,347765
2006-02-28,4.000212,4.009366,3.954443,3.981904,1.497016,208057
2006-03-01,3.972750,4.000212,3.954443,3.963596,1.490133,310981
2006-03-02,3.972750,3.981904,3.963596,3.981904,1.497016,320178
2006-03-03,3.981904,3.981904,3.917827,3.917827,1.472925,340320
2006-03-06,3.917827,3.981904,3.853751,3.954443,1.486691,373143
2006-03-07,3.981904,3.991058,3.963596,3.981904,1.497016,130520
2006-03-08,3.972750,3.972750,3.844597,3.862905,1.452277,128699
2006-03-09,3.872058,4.128365,3.872058,4.119211,1.548637,321763
2006-03-10,4.137519,4.183288,3.954443,4.073442,1.531430,180569
2006-03-13,4.100904,4.110057,3.991058,4.110057,1.545195,92660
2006-03-14,4.110057,4.110057,3.981904,4.082596,1.534871,100903
2006-03-15,4.036827,4.045981,3.991058,3.991058,1.500457,52265
2006-03-16,4.027673,4.045981,3.991058,4.045981,1.521106,758162
2006-03-17,4.045981,4.192442,4.045981,4.174134,1.569285,203419
2006-03-20,4.210749,4.238211,4.174134,4.219903,1.586492,99899
2006-03-21,4.238211,4.247364,4.192442,4.247364,1.596816,151019
2006-03-22,4.210749,4.210749,4.091750,4.174134,1.569285,410914
2006-03-23,4.174134,4.174134,4.110057,4.128365,1.552078,148223
2006-03-24,4.137519,4.183288,4.082596,4.128365,1.552078,265203
2006-03-27,4.137519,4.210749,4.137519,4.201595,1.579609,313373
2006-03-28,4.164980,4.247364,4.164980,4.247364,1.596816,410017
2006-03-29,4.247364,4.283980,4.219903,4.247364,1.596816,262457
2006-03-30,4.137519,4.210749,4.110057,4.192442,1.576168,282027
2006-03-31,4.183288,4.183288,3.890366,3.963596,1.490133,799216
2006-04-03,3.945289,4.036827,3.926981,3.981904,1.497016,343550
2006-04-04,3.954443,3.972750,3.734751,3.780520,1.421304,246137
2006-04-05,3.817136,4.000212,3.817136,3.945289,1.483250,222066
2006-04-06,3.945289,4.082596,3.945289,4.082596,1.534871,186200
2006-04-07,4.082596,4.082596,4.009366,4.082596,1.534871,143329
2006-04-10,4.027673,4.027673,3.899520,3.908674,1.469484,253639
2006-04-11,4.009366,4.009366,3.844597,3.872058,1.455718,183954
2006-04-12,3.844597,3.872058,3.807982,3.835443,1.441953,161550
2006-04-13,3.844597,3.908674,3.835443,3.862905,1.452277,80626
2006-04-18,3.872058,4.027673,3.872058,4.027673,1.514223,174165
2006-04-19,4.055135,4.110057,3.991058,4.073442,1.531430,287986
2006-04-20,4.045981,4.045981,3.899520,3.908674,1.469484,272440
2006-04-21,3.917827,4.018519,3.899520,3.963596,1.490133,69777
2006-04-24,3.981904,4.000212,3.908674,3.908674,1.469484,68514
2006-04-26,3.899520,4.000212,3.899520,3.972750,1.493574,183975
2006-04-27,4.027673,4.082596,3.981904,4.045981,1.521106,285720
2006-04-28,4.055135,4.137519,4.045981,4.091750,1.538312,181800
2006-05-01,4.073442,4.073442,4.045981,4.055135,1.524547,195813
2006-05-02,4.064288,4.183288,4.064288,4.183288,1.572727,133732
2006-05-03,4.164980,4.183288,4.100904,4.110057,1.545195,413649
2006-05-04,4.110057,4.119211,4.073442,4.073442,1.531430,81161
2006-05-05,4.064288,4.073442,4.027673,4.036827,1.517664,145661
2006-05-08,4.027673,4.164980,4.027673,4.137519,1.555519,104226
2006-05-09,4.174134,4.174134,4.073442,4.137519,1.555519,61877
2006-05-10,4.119211,4.119211,4.027673,4.073442,1.531430,129404
2006-05-11,4.045981,4.146673,4.027673,4.137519,1.555519,115855
2006-05-12,4.137519,4.137519,4.027673,4.027673,1.514223,61117
2006-05-15,4.027673,4.027673,3.917827,3.926981,1.476367,89496
2006-05-16,3.917827,4.009366,3.899520,3.991058,1.500457,81070
2006-05-17,3.991058,4.000212,3.936135,4.000212,1.503898,109550
2006-05-18,3.936135,4.000212,3.890366,3.936135,1.479808,114006
2006-05-19,3.954443,4.000212,3.899520,3.917827,1.472925,70816
2006-05-22,3.890366,3.963596,3.890366,3.908674,1.469484,66325
2006-05-23,3.908674,3.981904,3.908674,3.908674,1.469484,199091
2006-05-24,3.945289,3.945289,3.753059,3.872058,1.455718,122935
2006-05-25,3.817136,3.835443,3.753059,3.753059,1.410980,225115
2006-05-26,3.753059,3.798828,3.670675,3.798828,1.428187,181704
2006-05-29,3.771367,3.844597,3.743905,3.753059,1.410980,128925
2006-05-30,3.753059,3.789674,3.753059,3.753059,1.410980,145720
2006-05-31,3.771367,3.771367,3.716444,3.725598,1.400656,114880
2006-06-01,3.707290,3.817136,3.707290,3.817136,1.435070,76498
2006-06-02,3.890366,3.890366,3.762213,3.853751,1.448836,70390
2006-06-05,3.853751,3.862905,3.798828,3.862905,1.473274,50347
2006-06-06,3.862905,3.862905,3.798828,3.798828,1.448835,135861
2006-06-07,3.807982,3.844597,3.762213,3.771367,1.438362,64474
2006-06-08,3.771367,3.853751,3.762213,3.771367,1.438362,103868
2006-06-09,3.807982,3.862905,3.753059,3.844597,1.466292,108849
2006-06-13,3.844597,3.844597,3.780520,3.780520,1.441853,107781
2006-06-14,3.743905,3.780520,3.707290,3.734751,1.424397,144806
2006-06-15,3.881212,3.881212,3.725598,3.844597,1.466292,556060
2006-06-16,3.890366,3.899520,3.789674,3.881212,1.480256,76783
2006-06-19,3.917827,4.027673,3.890366,3.963596,1.511677,77394
2006-06-20,3.991058,4.009366,3.917827,4.009366,1.529133,107247
2006-06-21,4.000212,4.073442,4.000212,4.045981,1.543097,140562
2006-06-22,4.045981,4.119211,4.009366,4.045981,1.543097,89623
2006-06-23,4.045981,4.045981,3.981904,4.009366,1.529133,97001
2006-06-26,3.981904,4.009366,3.963596,3.991058,1.522150,136525
2006-06-27,3.991058,4.000212,3.963596,3.972750,1.515168,266520
2006-06-28,3.963596,3.972750,3.890366,3.908674,1.490730,157581
2006-06-29,3.963596,4.027673,3.936135,4.027673,1.536115,75797
2006-06-30,4.128365,4.155826,3.908674,3.908674,1.490730,148070
2006-07-03,4.027673,4.027673,3.936135,3.972750,1.515168,260202
2006-07-04,3.936135,3.972750,3.890366,3.917827,1.494221,192254
2006-07-05,3.881212,3.963596,3.853751,3.917827,1.494221,97012
2006-07-06,3.890366,3.936135,3.844597,3.936135,1.501203,144360
2006-07-07,3.936135,3.963596,3.881212,3.926981,1.497712,171486
2006-07-10,3.936135,3.954443,3.881212,3.936135,1.501203,41780
2006-07-11,3.926981,3.936135,3.890366,3.917827,1.494221,60356
2006-07-12,3.899520,3.936135,3.881212,3.890366,1.483747,49171
2006-07-13,3.890366,3.963596,3.890366,3.936135,1.501203,316372
2006-07-14,3.890366,3.936135,3.890366,3.899520,1.487238,82434
2006-07-17,3.881212,3.890366,3.771367,3.862905,1.473274,246705
2006-07-18,3.853751,3.890366,3.844597,3.862905,1.473274,147433
2006-07-19,3.890366,3.963596,3.853751,3.881212,1.480256,48425
2006-07-20,3.936135,3.981904,3.908674,3.936135,1.501203,50440
2006-07-21,3.936135,3.945289,3.890366,3.908674,1.490730,90774
2006-07-24,3.908674,3.908674,3.835443,3.844597,1.466292,46020
2006-07-25,3.862905,3.899520,3.807982,3.890366,1.483747,44647
2006-07-26,3.853751,3.881212,3.753059,3.753059,1.431380,103450
2006-07-27,3.753059,3.872058,3.725598,3.844597,1.466292,84024
2006-07-28,3.835443,3.835443,3.762213,3.798828,1.448835,103237
2006-07-31,3.798828,3.862905,3.798828,3.844597,1.466292,75295
