Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,31.986406,32.232533,31.809196,32.193150,16.521357,151684
2006-01-04,32.311291,33.059509,32.311291,32.961060,16.915440,301955
2006-01-05,33.059509,33.177650,32.655865,33.098892,16.986181,375310
2006-01-06,33.079201,33.276100,32.882301,33.177650,17.026600,461523
2006-01-09,33.325325,33.827419,33.325325,33.571449,17.228689,300817
2006-01-10,33.669903,33.847111,33.492691,33.581295,17.233742,356641
2006-01-11,33.640366,34.299980,33.640366,34.211376,17.557098,369404
2006-01-12,34.260601,34.654400,34.221222,34.585487,17.749090,524390
2006-01-13,34.555950,34.555950,34.211376,34.408276,17.658148,352389
2006-01-16,34.536263,34.851299,34.526417,34.654400,17.784454,332756
2006-01-17,34.703625,34.979286,34.575642,34.575642,17.744040,389628
2006-01-18,34.073547,34.142460,33.098892,33.266254,17.072067,530490
2006-01-19,33.581295,34.004631,32.655865,33.817577,17.355000,517691
2006-01-20,33.916027,33.965252,33.473000,33.610832,17.248901,186068
2006-01-23,32.980751,33.079201,32.488503,32.980751,16.925547,427927
2006-01-24,33.029976,33.522224,32.990597,33.285946,17.082172,328181
2006-01-25,33.374550,33.916027,33.374550,33.719128,17.304476,432434
2006-01-27,34.112926,34.408276,33.965252,34.181843,17.541939,431724
2006-01-30,34.457500,35.018665,33.984940,34.250755,17.577311,349704
2006-01-31,34.408276,34.654400,33.669903,34.388584,17.648046,334231
2006-02-01,34.506725,34.506725,33.945560,34.408276,17.658148,184253
2006-02-02,34.605175,34.890682,34.142460,34.211376,17.557098,354805
2006-02-03,34.053856,34.201530,33.089046,34.073547,17.486366,176755
2006-02-06,34.309826,34.309826,33.738815,33.906181,17.400473,147556
2006-02-07,33.975098,34.162151,33.571449,34.044010,17.471205,200353
2006-02-08,33.650211,34.063702,33.581295,33.866802,17.380264,238479
2006-02-09,34.014477,34.063702,33.728970,33.965252,17.430790,550305
2006-02-10,34.063702,34.063702,33.571449,33.748661,17.319635,247489
2006-02-13,33.916027,33.916027,33.482845,33.551762,17.218586,213888
2006-02-14,33.660057,34.162151,33.600986,34.162151,17.531836,287385
2006-02-15,34.555950,34.851299,33.876644,33.945560,17.420681,389933
2006-02-16,33.866802,33.876644,33.197342,33.837265,17.365107,193428
2006-02-17,33.079201,33.473000,32.518036,32.724781,16.794188,308008
2006-02-20,32.586952,32.646023,32.006096,32.321136,16.587032,360623
2006-02-21,32.153770,32.596794,32.045475,32.488503,16.672926,440964
2006-02-22,32.488503,32.567261,32.301445,32.488503,16.672926,221275
2006-02-23,32.685402,33.079201,32.498344,32.882301,16.875027,423915
2006-02-24,32.931526,33.148117,32.626331,32.626331,16.743664,1063888
2006-02-27,32.882301,32.921680,32.882301,32.921680,17.186693,8125
2006-02-28,31.976561,32.301445,31.602451,31.956871,16.683016,292866
2006-03-01,31.789507,31.799351,31.100355,31.100355,16.235872,355318
2006-03-02,31.060974,31.090509,30.627794,30.814850,16.086824,321560
2006-03-03,30.519501,30.992060,30.519501,30.598261,15.973757,191768
2006-03-06,30.558880,30.795160,30.125700,30.165079,15.747612,273557
2006-03-07,30.027250,30.913300,29.859884,30.873920,16.117661,371243
2006-03-08,31.011749,31.208651,30.657330,31.208651,16.292410,255420
2006-03-09,31.484310,31.504002,30.568726,31.435085,16.410616,189041
2006-03-10,31.484310,31.504002,31.060974,31.228340,16.302687,100953
2006-03-13,31.582762,31.799351,31.159426,31.799351,16.600780,141990
2006-03-14,31.799351,32.478657,31.799351,32.390053,16.909157,182053
2006-03-15,32.557415,33.059509,32.557415,32.842922,17.145575,350507
2006-03-16,33.276100,33.443466,32.685402,32.764160,17.104460,591522
2006-03-17,32.833076,32.980751,32.586952,32.783852,17.114742,219663
2006-03-20,33.266254,33.276100,32.793697,32.862610,17.155853,109804
2006-03-21,32.931526,33.049667,32.734627,33.049667,17.253508,124939
2006-03-22,33.177650,33.177650,32.675556,32.862610,17.155853,135500
2006-03-23,32.586952,32.901993,32.350670,32.419586,16.924576,203458
2006-03-24,32.330982,32.537727,32.075012,32.094700,16.754971,238023
2006-03-27,33.620674,34.654400,32.951218,34.654400,18.091251,1301566
2006-03-28,35.048203,35.343552,33.059509,33.325325,17.397411,1056468
2006-03-29,33.029976,33.256413,32.596794,32.783852,17.114742,492326
2006-03-30,32.931526,33.256413,32.744473,32.882301,17.166134,1322058
2006-03-31,32.961060,32.961060,32.006096,32.193150,16.806364,1375190
2006-04-03,32.045475,32.094700,31.641830,31.681211,16.539108,488312
2006-04-04,31.681211,31.750126,31.110201,31.110201,16.241011,416375
2006-04-05,31.464621,31.464621,30.755779,31.277567,16.328382,843855
2006-04-06,31.504002,33.423775,31.484310,33.177650,17.320324,1005944
2006-04-07,33.325325,33.325325,32.586952,32.685402,17.063343,459964
2006-04-10,32.636177,32.646023,31.759972,31.769815,16.585360,406972
2006-04-11,32.193150,32.764160,31.897800,32.537727,16.986254,813922
2006-04-12,32.390053,32.449120,32.183308,32.399895,16.914297,394727
2006-04-13,32.488503,32.705090,32.075012,32.193150,16.806364,413558
2006-04-18,32.488503,32.488503,31.996250,31.996250,16.703569,362425
2006-04-19,32.734627,32.734627,32.252220,32.636177,17.037642,884622
2006-04-20,32.488503,32.606640,32.488503,32.527882,16.981115,564948
2006-04-21,32.586952,32.705090,32.291599,32.596794,17.017084,226168
2006-04-24,32.744473,32.803539,32.498344,32.596794,17.017084,469860
2006-04-26,32.695248,33.374550,32.695248,33.128426,17.294622,478755
2006-04-27,33.453312,33.453312,32.636177,32.734627,17.089045,388515
2006-04-28,32.616486,32.616486,32.153770,32.340824,16.883455,523270
2006-05-01,32.330982,32.488503,31.996250,32.104546,16.760109,102394
2006-05-02,31.986406,31.986406,31.307100,31.316946,16.348942,389434
2006-05-03,31.316946,31.543381,30.716400,31.120045,16.246155,1056174
2006-05-04,30.864075,31.691055,30.864075,31.504002,16.446594,388507
2006-05-05,31.641830,31.671366,31.307100,31.651676,16.523689,246655
2006-05-08,31.966717,31.976561,31.612295,31.700901,16.549385,298928
2006-05-09,31.651676,31.789507,31.405552,31.504002,16.446594,248193
2006-05-10,31.819040,31.937181,31.504002,31.700901,16.549385,270635
2006-05-11,31.966717,31.966717,31.563070,31.651676,16.523689,250519
