Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,2.580962,2.620366,2.580962,2.600664,2.178764,69529
2006-01-04,2.620366,2.630217,2.610515,2.630217,2.203522,55893
2006-01-05,2.630217,2.640068,2.610515,2.620366,2.195269,24272
2006-01-06,2.630217,2.689323,2.620366,2.689323,2.253039,56155
2006-01-09,2.689323,2.718876,2.689323,2.689323,2.253039,75190
2006-01-10,2.699174,2.866642,2.699174,2.807536,2.352074,70115
2006-01-11,2.846940,2.856791,2.846940,2.846940,2.385085,25454
2006-01-12,2.856791,2.856791,2.807536,2.846940,2.385085,54106
2006-01-13,2.846940,2.846940,2.827238,2.827238,2.368580,44533
2006-01-16,2.837089,2.846940,2.827238,2.827238,2.368580,79635
2006-01-17,2.827238,2.837089,2.827238,2.837089,2.376833,33506
2006-01-18,2.837089,2.837089,2.827238,2.837089,2.376833,44767
2006-01-19,2.837089,2.846940,2.807536,2.807536,2.352074,32089
2006-01-20,2.797685,2.817387,2.768132,2.817387,2.360328,27662
2006-01-23,2.817387,2.817387,2.787834,2.807536,2.352074,37706
2006-01-24,2.807536,2.817387,2.758280,2.758280,2.310809,78703
2006-01-25,2.758280,2.787834,2.758280,2.787834,2.335569,26275
2006-01-27,2.787834,2.886344,2.787834,2.807536,2.352074,19185
2006-01-30,2.807536,2.807536,2.709025,2.758280,2.310809,58471
2006-01-31,2.787834,2.856791,2.777983,2.837089,2.376833,36612
2006-02-01,2.807536,2.807536,2.620366,2.777983,2.327316,110695
2006-02-02,2.758280,2.837089,2.728727,2.837089,2.376833,20683
2006-02-03,2.817387,2.837089,2.709025,2.709025,2.269545,12945
2006-02-06,2.807536,2.807536,2.738578,2.807536,2.352074,12821
2006-02-07,2.797685,2.797685,2.758280,2.758280,2.310809,10217
2006-02-08,2.748429,2.748429,2.709025,2.709025,2.269545,94833
2006-02-09,2.709025,2.709025,2.659770,2.659770,2.228281,40931
2006-02-10,2.659770,2.659770,2.640068,2.640068,2.211775,21622
2006-02-13,2.649919,2.659770,2.649919,2.649919,2.220027,28098
2006-02-14,2.649919,2.649919,2.620366,2.640068,2.211775,39031
2006-02-15,2.649919,2.689323,2.630217,2.689323,2.253039,29481
2006-02-16,2.659770,2.659770,2.649919,2.659770,2.228281,11704
2006-02-17,2.659770,2.669621,2.659770,2.659770,2.228281,18982
2006-02-20,2.659770,2.689323,2.649919,2.689323,2.253039,58666
2006-02-21,2.679472,2.777983,2.679472,2.709025,2.269545,80117
2006-02-22,2.758280,2.906046,2.758280,2.856791,2.393339,133921
2006-02-23,2.856791,3.063662,2.856791,3.053811,2.558397,109851
2006-02-24,3.053811,3.290235,3.053811,3.290235,2.756466,115963
2006-02-27,3.349341,3.497106,3.329639,3.497106,2.929777,84399
2006-02-28,3.467553,3.467553,3.250831,3.339490,2.797730,70557
2006-03-01,3.349341,3.349341,3.250831,3.250831,2.723455,20109
2006-03-02,3.270533,3.270533,3.201576,3.201576,2.682190,6679
2006-03-03,3.250831,3.447851,3.250831,3.438000,2.880259,54030
2006-03-06,3.447851,3.644871,3.447851,3.546361,2.971041,81331
2006-03-07,3.635020,3.644871,3.595616,3.644871,3.053570,33029
2006-03-08,3.644871,3.644871,3.536510,3.546361,2.971041,37734
2006-03-09,3.881295,3.881295,3.546361,3.595616,3.012306,121870
2006-03-10,3.595616,3.763083,3.595616,3.694126,3.094835,78397
2006-03-13,3.644871,3.644871,3.546361,3.546361,2.971041,25309
2006-03-14,3.644871,3.644871,3.447851,3.467553,2.905018,5228
2006-03-15,3.546361,3.654722,3.447851,3.595616,3.012306,63911
2006-03-16,3.595616,3.654722,3.595616,3.654722,3.061823,21987
2006-03-17,3.654722,3.841891,3.546361,3.841891,3.218628,155886
2006-03-20,3.841891,3.900997,3.792636,3.841891,3.218628,44697
2006-03-21,3.910848,4.088166,3.900997,3.910848,3.276398,101927
2006-03-22,3.989656,3.989656,3.960103,3.969954,3.325916,19379
2006-03-23,3.969954,3.969954,3.930550,3.940401,3.301157,21198
2006-03-24,3.940401,3.969954,3.891146,3.940401,3.301157,10229
2006-03-27,3.940401,3.979805,3.940401,3.979805,3.334168,340167
2006-03-28,3.940401,3.960103,3.841891,3.841891,3.218628,57457
2006-03-29,3.841891,3.841891,3.575914,3.684275,3.086581,56150
2006-03-30,3.644871,3.644871,3.546361,3.546361,2.971041,48987
2006-03-31,3.516808,3.516808,3.359192,3.398596,2.847248,104684
2006-04-03,3.408447,3.447851,3.349341,3.359192,2.814236,54234
2006-04-04,3.516808,3.595616,3.467553,3.536510,2.962788,92914
2006-04-05,3.546361,3.546361,3.536510,3.536510,2.962788,36870
2006-04-06,3.546361,3.635020,3.546361,3.556212,2.979294,27615
2006-04-07,3.556212,3.556212,3.438000,3.438000,2.880259,7807
2006-04-10,3.585765,3.585765,3.546361,3.546361,2.971041,19715
2006-04-11,3.477404,3.477404,3.457702,3.457702,2.896765,8679
2006-04-12,3.447851,3.497106,3.398596,3.497106,2.929777,11638
2006-04-13,3.536510,3.585765,3.536510,3.556212,2.979294,14110
2006-04-18,3.556212,3.575914,3.556212,3.575914,2.995800,1015
2006-04-19,3.497106,3.497106,3.398596,3.447851,2.888512,34313
2006-04-20,3.546361,3.585765,3.447851,3.447851,2.888512,27851
2006-04-21,3.447851,3.575914,3.447851,3.575914,2.995800,8110
2006-04-24,3.575914,3.575914,3.447851,3.447851,2.888512,30613
2006-04-26,3.438000,3.546361,3.428149,3.487255,2.921524,27332
2006-04-27,3.487255,3.526659,3.428149,3.428149,2.872007,9275
2006-04-28,3.467553,3.467553,3.398596,3.398596,2.847248,14567
2006-05-01,3.359192,3.536510,3.329639,3.536510,2.962788,74880
2006-05-02,3.536510,3.546361,3.438000,3.447851,2.888512,43040
2006-05-03,3.447851,3.556212,3.447851,3.546361,2.971041,56403
2006-05-04,3.546361,3.615318,3.546361,3.546361,2.971041,12997
2006-05-05,3.615318,3.615318,3.546361,3.556212,2.979294,15876
2006-05-08,3.605467,3.605467,3.556212,3.556212,2.979294,5151
2006-05-09,3.566063,3.595616,3.566063,3.566063,2.987546,17009
2006-05-10,3.566063,3.575914,3.556212,3.556212,2.979294,24426
2006-05-11,3.625169,3.920699,3.625169,3.792636,3.177363,100417
2006-05-12,3.792636,3.802487,3.694126,3.802487,3.185617,48076
2006-05-15,3.800000,3.820000,3.700000,3.820000,3.200288,9203
2006-05-16,3.880000,3.990000,3.870000,3.900000,3.267311,102577
2006-05-17,4.000000,4.100000,3.990000,4.000000,3.351087,252514
2006-05-18,3.950000,4.000000,3.800000,4.000000,3.351087,18155
2006-05-19,3.850000,4.000000,3.850000,3.980000,3.334332,3623
2006-05-22,3.980000,3.980000,3.850000,3.850000,3.225422,14977
2006-05-23,3.800000,3.800000,3.500000,3.500000,2.932201,77087
2006-05-24,3.640000,3.700000,3.640000,3.650000,3.057867,325907
2006-05-25,3.700000,3.700000,3.600000,3.600000,3.015979,20419
2006-05-26,3.700000,3.700000,3.630000,3.630000,3.041112,42008
2006-05-29,3.650000,3.660000,3.620000,3.650000,3.057867,34560
2006-05-30,3.650000,3.760000,3.630000,3.760000,3.150022,336756
2006-05-31,3.800000,3.800000,3.800000,3.800000,3.183533,1461
2006-06-01,3.690000,3.690000,3.690000,3.690000,3.091378,5000
2006-06-02,3.800000,3.820000,3.800000,3.800000,3.183533,19265
2006-06-05,3.800000,3.800000,3.800000,3.800000,3.183533,3750
2006-06-06,3.790000,3.840000,3.730000,3.750000,3.141645,15290
2006-06-07,3.730000,3.750000,3.730000,3.750000,3.141645,2060
2006-06-08,3.750000,3.750000,3.610000,3.610000,3.024356,50225
2006-06-09,3.720000,3.730000,3.620000,3.620000,3.032734,35894
2006-06-13,3.620000,3.620000,3.600000,3.620000,3.032734,79900
2006-06-14,3.620000,3.730000,3.560000,3.590000,3.007601,261755
2006-06-15,3.600000,3.610000,3.600000,3.600000,3.015979,7000
2006-06-16,3.650000,3.650000,3.650000,3.650000,3.057867,1962
2006-06-19,3.650000,3.650000,3.600000,3.610000,3.024356,13352
