Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,2.600000,2.630000,2.595000,2.620000,2.425883,342304
2006-01-04,2.625000,2.625000,2.600000,2.610000,2.416624,2254384
2006-01-05,2.580000,2.590000,2.565000,2.585000,2.393476,2676856
2006-01-06,2.570000,2.590000,2.570000,2.570000,2.379588,1103350
2006-01-09,2.425000,2.480000,2.420000,2.480000,2.296255,6019788
2006-01-10,2.525000,2.590000,2.520000,2.580000,2.388846,4446912
2006-01-11,2.595000,2.680000,2.595000,2.680000,2.481437,4115572
2006-01-12,2.585000,2.610000,2.565000,2.605000,2.411994,7820564
2006-01-13,2.575000,2.595000,2.570000,2.590000,2.398106,1950344
2006-01-16,2.550000,2.550000,2.510000,2.520000,2.333291,1944272
2006-01-17,2.520000,2.550000,2.515000,2.550000,2.361069,866352
2006-01-18,2.525000,2.535000,2.480000,2.490000,2.305514,2539266
2006-01-19,2.515000,2.560000,2.505000,2.540000,2.351810,1617852
2006-01-20,2.550000,2.560000,2.515000,2.515000,2.328662,592796
2006-01-23,2.480000,2.520000,2.430000,2.500000,2.314774,2330248
2006-01-24,2.495000,2.525000,2.465000,2.520000,2.333291,3544030
2006-01-25,2.505000,2.540000,2.495000,2.525000,2.337921,2458476
2006-01-27,2.575000,2.645000,2.575000,2.645000,2.449030,2273638
2006-01-30,2.640000,2.665000,2.615000,2.665000,2.467549,1229142
2006-01-31,2.640000,2.655000,2.610000,2.645000,2.449030,897708
2006-02-01,2.630000,2.630000,2.585000,2.590000,2.398106,2273270
2006-02-02,2.585000,2.600000,2.540000,2.555000,2.365698,3698452
2006-02-03,2.565000,2.575000,2.510000,2.545000,2.356440,845244
2006-02-06,2.540000,2.610000,2.540000,2.610000,2.416624,797634
2006-02-07,2.580000,2.665000,2.575000,2.630000,2.435142,6253884
2006-02-08,2.850000,2.925000,2.810000,2.915000,2.699026,9643782
2006-02-09,2.755000,2.845000,2.740000,2.800000,2.592546,5846134
2006-02-10,2.810000,2.845000,2.790000,2.800000,2.592546,3906746
2006-02-13,2.800000,2.855000,2.800000,2.800000,2.592546,1595484
2006-02-14,2.835000,2.885000,2.820000,2.885000,2.671248,2775426
2006-02-15,2.845000,2.870000,2.835000,2.870000,2.657360,3031990
2006-02-16,2.900000,2.915000,2.850000,2.895000,2.680508,1301768
2006-02-17,2.895000,2.920000,2.885000,2.910000,2.694396,2332280
2006-02-20,2.855000,2.870000,2.825000,2.870000,2.657360,3111708
2006-02-21,2.835000,2.875000,2.820000,2.850000,2.638842,855330
2006-02-22,2.815000,2.840000,2.755000,2.825000,2.615695,2346912
2006-02-23,2.785000,2.795000,2.730000,2.775000,2.569399,2365602
2006-02-24,2.745000,2.770000,2.730000,2.755000,2.550881,1497582
2006-02-27,2.760000,2.795000,2.730000,2.795000,2.587917,1467714
2006-02-28,2.810000,2.825000,2.805000,2.815000,2.606436,1001328
2006-03-01,2.750000,2.750000,2.665000,2.675000,2.476808,3602774
2006-03-02,2.665000,2.735000,2.660000,2.720000,2.518474,1306224
2006-03-03,2.695000,2.750000,2.685000,2.685000,2.486067,891188
2006-03-06,2.660000,2.695000,2.655000,2.665000,2.467549,1311964
2006-03-07,2.650000,2.670000,2.650000,2.650000,2.453660,1011058
2006-03-08,2.640000,2.690000,2.635000,2.665000,2.467549,1095786
2006-03-09,2.710000,2.755000,2.705000,2.755000,2.550881,1497594
2006-03-10,2.720000,2.740000,2.715000,2.715000,2.513844,1477450
2006-03-13,2.750000,2.770000,2.735000,2.760000,2.555510,1323706
2006-03-14,2.740000,2.745000,2.735000,2.740000,2.536992,1780058
2006-03-15,2.690000,2.715000,2.690000,2.705000,2.504585,5724682
2006-03-16,2.740000,2.740000,2.710000,2.730000,2.527733,5223328
2006-03-17,2.750000,2.785000,2.735000,2.785000,2.578658,2306556
2006-03-20,2.785000,2.805000,2.780000,2.795000,2.587917,2177488
2006-03-21,2.860000,2.910000,2.860000,2.880000,2.666619,2112450
2006-03-22,3.025000,3.050000,3.005000,3.015000,2.791617,3026962
2006-03-23,3.060000,3.095000,3.045000,3.060000,2.833282,1673508
2006-03-24,3.085000,3.090000,3.025000,3.045000,2.819394,3143960
2006-03-27,3.060000,3.080000,3.030000,3.040000,2.814764,3030818
2006-03-28,3.050000,3.060000,3.010000,3.025000,2.800876,2509806
2006-03-29,3.080000,3.115000,3.080000,3.110000,2.879578,3610506
2006-03-30,3.050000,3.050000,2.965000,3.035000,2.810136,2190612
2006-03-31,3.010000,3.050000,2.990000,3.050000,2.824023,1235112
2006-04-03,3.050000,3.095000,3.045000,3.045000,2.819394,1292404
2006-04-04,3.015000,3.025000,2.970000,2.975000,2.754581,1203698
2006-04-05,3.035000,3.060000,3.020000,3.045000,2.819394,2613538
2006-04-06,3.025000,3.025000,2.980000,3.010000,2.786988,2736266
2006-04-07,2.960000,2.960000,2.920000,2.920000,2.703655,1421824
2006-04-10,2.920000,2.940000,2.890000,2.905000,2.689767,2329418
2006-04-11,2.915000,2.985000,2.915000,2.970000,2.749951,1333766
2006-04-12,2.890000,2.905000,2.870000,2.900000,2.685138,1757992
2006-04-13,2.880000,2.905000,2.875000,2.900000,2.685138,1464354
2006-04-18,2.855000,2.900000,2.845000,2.890000,2.675878,1660886
2006-04-19,2.920000,2.985000,2.880000,2.985000,2.763840,2887548
2006-04-20,2.930000,2.960000,2.910000,2.940000,2.722174,3822812
2006-04-21,2.895000,2.920000,2.885000,2.885000,2.671248,2291532
2006-04-24,2.910000,2.920000,2.860000,2.890000,2.675878,519542
2006-04-26,2.880000,2.960000,2.880000,2.935000,2.717544,2369010
2006-04-27,2.935000,2.950000,2.915000,2.925000,2.708286,3052912
2006-04-28,2.925000,2.940000,2.915000,2.925000,2.708286,1447248
2006-05-01,2.865000,2.895000,2.850000,2.875000,2.661990,3066350
2006-05-02,2.860000,2.885000,2.835000,2.835000,2.624954,2470380
2006-05-03,2.805000,2.870000,2.780000,2.870000,2.657360,3207268
2006-05-04,2.845000,2.865000,2.820000,2.820000,2.611065,3182678
2006-05-05,3.000000,3.095000,2.960000,3.050000,2.824023,4310328
2006-05-08,3.115000,3.120000,3.075000,3.120000,2.888838,3179600
2006-05-09,3.125000,3.160000,3.110000,3.150000,2.916615,3703410
2006-05-10,3.160000,3.190000,3.150000,3.160000,2.925874,4001014
2006-05-11,3.090000,3.090000,3.040000,3.055000,2.828653,2958312
2006-05-12,3.015000,3.030000,2.990000,3.005000,2.782357,3204102
2006-05-15,2.960000,2.970000,2.935000,2.945000,2.726803,2136890
2006-05-16,3.000000,3.045000,2.995000,3.020000,2.796247,3520018
