Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.020000,3.100000,3.010000,3.100000,2.225952,74534
2006-01-04,3.120000,3.140000,3.080000,3.120000,2.240313,185345
2006-01-05,3.120000,3.170000,3.110000,3.150000,2.261855,124464
2006-01-06,3.170000,3.240000,3.160000,3.210000,2.304938,350444
2006-01-09,3.250000,3.330000,3.250000,3.330000,2.391104,207257
2006-01-10,3.340000,3.360000,3.270000,3.270000,2.348021,1685309
2006-01-11,3.320000,3.480000,3.320000,3.460000,2.484450,299607
2006-01-12,3.440000,3.590000,3.440000,3.440000,2.470089,215273
2006-01-13,3.420000,3.420000,3.350000,3.350000,2.405464,119402
2006-01-16,3.460000,3.530000,3.460000,3.480000,2.498811,285849
2006-01-17,3.570000,3.580000,3.490000,3.520000,2.527533,384290
2006-01-18,3.520000,3.520000,3.330000,3.400000,2.441367,596719
2006-01-19,3.400000,3.550000,3.400000,3.500000,2.513172,772233
2006-01-20,3.560000,3.560000,3.490000,3.500000,2.513172,652492
2006-01-23,3.500000,3.500000,3.450000,3.470000,2.491631,543957
2006-01-24,3.480000,3.560000,3.480000,3.540000,2.541894,73275
2006-01-25,3.550000,3.760000,3.550000,3.640000,2.613699,498768
2006-01-27,3.700000,3.740000,3.670000,3.700000,2.656782,388666
2006-01-30,3.750000,3.860000,3.720000,3.860000,2.771670,743897
2006-01-31,3.870000,3.870000,3.790000,3.840000,2.757308,390535
2006-02-01,3.770000,3.770000,3.630000,3.710000,2.663962,603967
2006-02-02,3.700000,3.800000,3.650000,3.710000,2.663962,687502
2006-02-03,3.650000,3.730000,3.630000,3.650000,2.620879,195897
2006-02-06,3.650000,3.780000,3.650000,3.740000,2.685504,501551
2006-02-07,3.750000,3.850000,3.750000,3.820000,2.742947,584678
2006-02-08,3.800000,3.800000,3.610000,3.610000,2.592157,312785
2006-02-09,3.630000,3.700000,3.630000,3.650000,2.620879,2432627
2006-02-10,3.690000,3.780000,3.640000,3.650000,2.620879,570031
2006-02-13,3.650000,3.800000,3.650000,3.740000,2.685504,1240089
2006-02-14,3.740000,3.740000,3.650000,3.650000,2.620879,1450718
2006-02-15,3.690000,3.700000,3.650000,3.680000,2.642421,1503564
2006-02-16,3.690000,3.700000,3.650000,3.690000,2.649601,1255867
2006-02-17,3.690000,3.720000,3.650000,3.690000,2.649601,1597761
2006-02-20,3.710000,3.840000,3.700000,3.750000,2.692684,491535
2006-02-21,3.770000,3.960000,3.760000,3.950000,2.836294,707684
2006-02-22,3.990000,4.030000,3.870000,3.900000,2.826871,566146
2006-02-23,3.930000,3.980000,3.870000,3.970000,2.877610,194974
2006-02-24,3.990000,4.150000,3.980000,4.050000,2.935597,2967239
2006-02-27,4.070000,4.190000,4.010000,4.190000,3.037075,1038113
2006-02-28,4.200000,4.230000,4.130000,4.130000,2.993585,712621
2006-03-01,4.130000,4.130000,4.000000,4.000000,2.899355,810340
2006-03-02,3.990000,4.040000,3.960000,3.990000,2.892107,321389
2006-03-03,3.980000,4.040000,3.950000,3.950000,2.863114,617596
2006-03-06,3.940000,3.940000,3.880000,3.900000,2.826871,280765
2006-03-07,3.860000,3.990000,3.800000,3.950000,2.863114,377937
2006-03-08,3.910000,3.930000,3.860000,3.900000,2.826871,326974
2006-03-09,3.900000,4.060000,3.900000,4.020000,2.913852,529935
2006-03-10,4.030000,4.030000,3.960000,3.960000,2.870362,264259
2006-03-13,3.980000,3.980000,3.870000,3.900000,2.826871,302203
2006-03-14,3.870000,3.980000,3.870000,3.940000,2.855865,384519
2006-03-15,3.950000,3.970000,3.930000,3.940000,2.855865,439335
2006-03-16,4.020000,4.020000,3.970000,3.990000,2.892107,1119193
2006-03-17,3.990000,4.020000,3.960000,3.980000,2.884858,547191
2006-03-20,3.970000,3.990000,3.950000,3.980000,2.884858,173777
2006-03-21,3.990000,3.990000,3.970000,3.980000,2.884858,499456
2006-03-22,3.950000,3.970000,3.920000,3.940000,2.855865,321202
2006-03-23,3.930000,3.990000,3.920000,3.950000,2.863114,1200026
2006-03-24,3.980000,3.990000,3.950000,3.990000,2.892107,329431
2006-03-27,4.000000,4.010000,3.960000,4.000000,2.899355,626047
2006-03-28,4.000000,4.000000,3.970000,4.000000,2.899355,457130
2006-03-29,3.950000,3.990000,3.940000,3.980000,2.884858,458025
2006-03-30,3.960000,4.010000,3.930000,3.990000,2.892107,601415
2006-03-31,3.990000,4.000000,3.940000,3.990000,2.892107,259113
2006-04-03,4.000000,4.000000,3.960000,3.990000,2.892107,93892
2006-04-04,4.000000,4.000000,3.880000,3.880000,2.812375,397078
2006-04-05,3.900000,3.990000,3.850000,3.970000,2.877610,478254
2006-04-06,3.980000,3.980000,3.920000,3.970000,2.877610,529240
2006-04-07,3.980000,3.990000,3.970000,3.980000,2.884858,437987
2006-04-10,3.980000,4.000000,3.950000,3.990000,2.892107,295717
2006-04-11,4.000000,4.000000,3.960000,4.000000,2.899355,1353662
2006-04-12,3.920000,4.000000,3.900000,3.950000,2.863114,575418
2006-04-13,3.920000,3.920000,3.600000,3.830000,2.776132,678232
2006-04-18,3.820000,3.980000,3.820000,3.970000,2.877610,510689
2006-04-19,4.000000,4.000000,3.850000,3.870000,2.805126,781637
2006-04-20,3.840000,3.930000,3.820000,3.860000,2.797878,360374
2006-04-21,3.830000,3.870000,3.820000,3.840000,2.783381,223989
2006-04-24,3.800000,3.850000,3.770000,3.820000,2.768884,372191
2006-04-26,3.860000,3.950000,3.840000,3.930000,2.848617,678785
2006-04-27,3.950000,3.970000,3.910000,3.950000,2.863114,253285
2006-04-28,3.950000,3.990000,3.950000,3.970000,2.877610,523093
2006-05-01,3.980000,3.980000,3.950000,3.970000,2.877610,184902
2006-05-02,3.960000,3.990000,3.960000,3.980000,2.884858,544763
2006-05-03,4.000000,4.280000,4.000000,4.270000,3.095061,1675851
2006-05-04,4.300000,4.400000,4.300000,4.330000,3.138552,1239174
2006-05-05,4.350000,4.450000,4.320000,4.370000,3.167545,478685
2006-05-08,4.400000,4.400000,4.350000,4.380000,3.174794,349131
2006-05-09,4.380000,4.490000,4.380000,4.450000,3.225533,576366
2006-05-10,4.580000,4.640000,4.510000,4.540000,3.290767,683526
2006-05-11,4.590000,4.720000,4.590000,4.640000,3.363252,1564701
2006-05-12,4.660000,4.740000,4.640000,4.700000,3.406742,2947430
2006-05-15,4.610000,4.750000,4.540000,4.740000,3.435736,712273
2006-05-16,4.700000,4.800000,4.660000,4.740000,3.435736,705406
2006-05-17,4.760000,4.810000,4.750000,4.760000,3.450233,1099840
2006-05-18,4.690000,4.700000,4.600000,4.600000,3.334259,616914
2006-05-19,4.600000,4.730000,4.600000,4.610000,3.341506,1109187
2006-05-22,4.700000,4.700000,4.620000,4.620000,3.348754,291314
2006-05-23,4.690000,4.700000,4.630000,4.630000,3.356004,1135950
2006-05-24,4.630000,4.640000,4.450000,4.450000,3.225533,782947
2006-05-25,4.400000,4.400000,4.170000,4.170000,3.022578,1542930
2006-05-26,4.250000,4.470000,4.250000,4.390000,3.182042,750008
2006-05-29,4.420000,4.600000,4.410000,4.480000,3.247277,452647
2006-05-30,4.510000,4.590000,4.510000,4.580000,3.319762,463014
2006-05-31,4.550000,4.600000,4.470000,4.600000,3.334259,543185
2006-06-01,4.600000,4.710000,4.600000,4.630000,3.356004,789670
2006-06-02,4.650000,4.740000,4.650000,4.690000,3.399493,2135297
2006-06-05,4.710000,4.740000,4.620000,4.650000,3.370501,532401
2006-06-06,4.650000,4.690000,4.640000,4.660000,3.377748,540114
2006-06-07,4.710000,4.810000,4.680000,4.750000,3.442984,742454
2006-06-08,4.840000,4.840000,4.350000,4.400000,3.189290,1021072
2006-06-09,4.390000,4.500000,4.370000,4.500000,3.261774,597421
2006-06-13,4.500000,4.630000,4.410000,4.570000,3.312514,2421455
2006-06-14,4.590000,4.600000,4.560000,4.590000,3.327010,1185738
2006-06-15,4.640000,4.730000,4.610000,4.680000,3.392246,7517809
2006-06-16,4.740000,4.740000,4.660000,4.690000,3.399493,254282
2006-06-19,4.690000,4.750000,4.670000,4.700000,3.406742,786533
2006-06-20,4.740000,4.900000,4.740000,4.850000,3.515466,1034969
2006-06-21,4.980000,5.000000,4.950000,4.950000,3.587952,1384884
2006-06-22,5.050000,5.130000,5.020000,5.090000,3.689430,741158
2006-06-23,5.070000,5.090000,4.880000,4.900000,3.551710,687613
2006-06-26,4.880000,4.960000,4.800000,4.800000,3.479226,727819
2006-06-27,4.770000,5.050000,4.770000,5.050000,3.660435,533403
2006-06-28,5.050000,5.050000,4.880000,4.990000,3.616946,203501
2006-06-29,5.000000,5.180000,5.000000,5.170000,3.747417,1173940
2006-06-30,5.390000,5.450000,5.240000,5.350000,3.877889,731173
2006-07-03,5.340000,5.400000,5.120000,5.330000,3.863390,1232697
2006-07-04,5.300000,5.310000,5.240000,5.250000,3.805403,522217
2006-07-05,5.240000,5.260000,5.050000,5.170000,3.747417,434031
2006-07-06,5.170000,5.300000,5.150000,5.300000,3.841646,492145
2006-07-07,5.300000,5.440000,5.260000,5.400000,3.914129,641956
2006-07-10,5.410000,5.410000,5.270000,5.300000,3.841646,421870
2006-07-11,5.320000,5.500000,5.320000,5.500000,3.986613,897909
2006-07-12,5.550000,5.550000,5.380000,5.380000,3.899632,861527
2006-07-13,5.380000,5.420000,5.350000,5.350000,3.877889,603411
2006-07-14,5.310000,5.320000,5.000000,5.050000,3.660435,947312
2006-07-17,5.040000,5.040000,4.800000,4.870000,3.529964,682507
2006-07-18,4.830000,4.930000,4.820000,4.850000,3.515466,654369
2006-07-19,4.900000,4.980000,4.890000,4.910000,3.558959,848759
2006-07-20,5.000000,5.030000,4.960000,4.970000,3.602448,691839
2006-07-21,5.000000,5.040000,4.930000,5.000000,3.624193,478628
2006-07-24,5.000000,5.000000,4.900000,4.920000,3.566206,311624
