Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,9.101843,9.190931,9.094419,9.183507,6.399520,1984110
2006-01-04,9.346835,9.383955,9.287443,9.287443,6.471946,1598789
2006-01-05,9.317139,9.324563,9.205779,9.242899,6.440907,1252496
2006-01-06,9.138963,9.190931,9.057299,9.094419,6.337437,1185498
2006-01-09,9.242899,9.354259,9.242899,9.354259,6.518507,1411334
2006-01-10,9.272595,9.317139,9.190931,9.280019,6.466773,1635647
2006-01-11,9.369107,9.383955,9.235475,9.280019,6.466773,1074383
2006-01-12,9.317139,9.339411,9.101843,9.228051,6.430561,1608737
2006-01-13,9.250323,9.324563,9.228051,9.294867,6.477121,1463521
2006-01-16,9.361683,9.435923,9.302291,9.361683,6.523681,1708491
2006-01-17,9.428499,9.547284,9.369107,9.421075,6.565069,1571019
2006-01-18,9.562132,9.569556,9.146387,9.146387,6.373652,2577819
2006-01-19,9.242899,9.354259,9.109267,9.280019,6.466773,2065480
2006-01-20,9.391379,9.435923,9.265171,9.265171,6.456426,2521693
2006-01-23,9.242899,9.539860,9.235475,9.443347,6.580589,2247755
2006-01-24,9.539860,9.614100,9.383955,9.495316,6.616802,2274934
2006-01-25,9.584404,9.599252,9.280019,9.510164,6.627150,2918824
2006-01-27,9.651220,9.859092,9.547284,9.755156,6.797873,2342415
2006-01-30,9.799700,10.000149,9.799700,9.873940,6.880648,2406813
2006-01-31,10.014997,10.096661,9.703188,9.725460,6.777179,2075884
2006-02-01,9.799700,10.014997,9.799700,10.000149,6.968596,1997889
2006-02-02,10.014997,10.156053,9.710612,9.710612,6.766831,3177163
2006-02-03,9.666068,9.784852,9.361683,9.532436,6.642671,2010314
2006-02-06,9.576980,9.821972,9.576980,9.725460,6.777179,996699
2006-02-07,9.770004,9.814548,9.614100,9.614100,6.699578,1081589
2006-02-08,9.428499,9.473043,9.280019,9.280019,6.466773,2923012
2006-02-09,9.391379,9.495316,9.317139,9.383955,6.539202,1568069
2006-02-10,9.369107,9.443347,9.205779,9.205779,6.415039,2370486
2006-02-13,9.116691,9.168659,8.931090,8.945938,6.233970,2227643
2006-02-14,8.901394,9.057299,8.842002,9.027603,6.290879,3112857
2006-02-15,8.893970,9.057299,8.797458,8.834578,6.156368,1873534
2006-02-16,8.797458,8.797458,8.611858,8.760338,6.104634,2044778
2006-02-17,8.723218,8.879122,8.700946,8.827154,6.151196,1730952
2006-02-20,8.968210,9.042451,8.923666,9.042451,6.301223,2891114
2006-02-21,9.072147,9.183507,9.072147,9.131539,6.363305,1634158
