Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.085743,3.154098,3.085743,3.144333,1.065736,2732856
2006-01-04,3.134568,3.193158,3.134568,3.173628,1.075665,2595952
2006-01-05,3.173628,3.183393,3.134568,3.163863,1.072356,4641001
2006-01-06,3.154098,3.183393,3.154098,3.163863,1.072356,2234941
2006-01-09,3.163863,3.173628,3.154098,3.173628,1.075665,1677216
2006-01-10,3.173628,3.232218,3.173628,3.183393,1.078975,5969217
2006-01-11,3.173628,3.202923,3.173628,3.173628,1.075665,3801091
2006-01-12,3.183393,3.193158,3.173628,3.183393,1.078975,4089731
2006-01-13,3.183393,3.222453,3.173628,3.212688,1.088904,2347560
2006-01-16,3.212688,3.241983,3.202923,3.232218,1.095524,2314064
2006-01-17,3.222453,3.222453,3.183393,3.222453,1.092214,3319175
2006-01-18,3.202923,3.202923,3.144333,3.173628,1.075665,8213566
2006-01-19,3.154098,3.173628,3.124803,3.173628,1.075665,5232244
2006-01-20,3.154098,3.193158,3.144333,3.183393,1.078975,6733751
2006-01-23,3.144333,3.183393,3.134568,3.173628,1.075665,3668933
2006-01-24,3.163863,3.163863,3.105273,3.134568,1.062426,3843873
2006-01-25,3.134568,3.154098,3.066213,3.075978,1.042568,5108984
2006-01-27,3.085743,3.105273,3.046683,3.056448,1.035948,3767639
2006-01-30,3.056448,3.056448,3.007623,3.027153,1.026019,7823364
2006-01-31,3.017388,3.056448,3.007623,3.036918,1.029329,7890041
2006-02-01,3.046683,3.085743,3.036918,3.075978,1.042568,6972626
2006-02-02,3.085743,3.105273,3.075978,3.075978,1.042568,7940281
2006-02-03,3.056448,3.095508,3.036918,3.056448,1.035948,5963104
2006-02-06,3.027153,3.046683,3.027153,3.027153,1.026019,4975853
2006-02-07,3.036918,3.046683,3.017388,3.046683,1.032639,6801361
2006-02-08,3.036918,3.036918,3.007623,3.027153,1.026019,8184125
2006-02-09,3.036918,3.095508,3.036918,3.095508,1.049187,8482480
2006-02-10,3.085743,3.085743,3.036918,3.046683,1.032639,5640911
2006-02-13,3.046683,3.075978,3.017388,3.036918,1.029329,4784948
2006-02-14,3.027153,3.056448,3.017388,3.036918,1.029329,7399471
2006-02-15,3.046683,3.056448,3.007623,3.017388,1.022710,6877576
2006-02-16,3.027153,3.027153,2.958798,2.988093,1.012780,4825424
2006-02-17,3.007623,3.007623,2.949033,2.949033,0.999542,5286354
2006-02-20,2.958798,2.997858,2.909973,2.997858,1.016090,3961787
2006-02-21,2.988093,3.036918,2.978328,3.027153,1.026019,3213278
2006-02-22,3.046683,3.046683,2.978328,3.036918,1.029329,3913683
2006-02-23,3.046683,3.095508,3.046683,3.095508,1.049187,6572783
2006-02-24,3.075978,3.154098,3.075978,3.154098,1.069046,7485392
2006-02-27,3.163863,3.163863,3.124803,3.154098,1.069046,3951865
2006-02-28,3.134568,3.163863,3.124803,3.154098,1.069046,5831670
2006-03-01,3.124803,3.173628,3.124803,3.134568,1.062426,6142949
2006-03-02,3.124803,3.124803,3.075978,3.095508,1.049187,5727647
2006-03-03,3.095508,3.124803,3.085743,3.095508,1.049187,4008236
2006-03-06,3.085743,3.115038,3.066213,3.115038,1.055807,4375902
2006-03-07,3.085743,3.085743,3.056448,3.085743,1.045878,5137239
2006-03-08,3.095508,3.115038,3.075978,3.105273,1.052497,13111349
2006-03-09,3.124803,3.144333,3.115038,3.144333,1.065736,5303927
2006-03-10,3.154098,3.163863,3.144333,3.154098,1.069046,5428294
2006-03-13,3.154098,3.173628,3.144333,3.163863,1.072356,2943581
