Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.327109,3.360887,3.318665,3.343998,1.379754,17648300
2006-01-04,3.343998,3.436887,3.343998,3.428443,1.414597,39400206
2006-01-05,3.428443,3.445331,3.411554,3.419998,1.411112,19033195
2006-01-06,3.411554,3.411554,3.360887,3.369331,1.390207,16873731
2006-01-09,3.403109,3.428443,3.394665,3.428443,1.414597,19512663
2006-01-10,3.428443,3.436887,3.377776,3.377776,1.393691,24020578
2006-01-11,3.386220,3.394665,3.352443,3.369331,1.390207,36466077
2006-01-12,3.377776,3.386220,3.335554,3.335554,1.376270,25926300
2006-01-13,3.335554,3.343998,3.310220,3.343998,1.379754,19686554
2006-01-16,3.360887,3.360887,3.335554,3.343998,1.379754,15169533
2006-01-17,3.352443,3.386220,3.343998,3.369331,1.390207,28502736
2006-01-18,3.352443,3.369331,3.327109,3.369331,1.390207,34290139
2006-01-19,3.386220,3.403109,3.360887,3.394665,1.400659,43433401
2006-01-20,3.394665,3.428443,3.352443,3.369331,1.390207,34611948
2006-01-23,3.343998,3.343998,3.318665,3.343998,1.379754,43980099
2006-01-24,3.352443,3.369331,3.343998,3.360887,1.386722,25155668
2006-01-25,3.360887,3.386220,3.343998,3.352443,1.383238,32894724
2006-01-27,3.369331,3.377776,3.352443,3.369331,1.390207,20959378
2006-01-30,3.369331,3.386220,3.352443,3.360887,1.386722,18629398
2006-01-31,3.377776,3.386220,3.360887,3.360887,1.386722,19648248
2006-02-01,3.377776,3.487554,3.369331,3.462220,1.428533,79649832
2006-02-02,3.479109,3.487554,3.419998,3.436887,1.418080,55073688
2006-02-03,3.436887,3.436887,3.386220,3.403109,1.404143,30893876
2006-02-06,3.403109,3.428443,3.403109,3.411554,1.407628,23197947
2006-02-07,3.419998,3.428443,3.386220,3.394665,1.400659,36081980
2006-02-08,3.386220,3.428443,3.377776,3.403109,1.404143,31805084
2006-02-09,3.445331,3.479109,3.436887,3.445331,1.421565,48235396
2006-02-10,3.453776,3.462220,3.386220,3.394665,1.400659,41522478
2006-02-13,3.403109,3.445331,3.394665,3.411554,1.407628,33859941
2006-02-14,3.436887,3.436887,3.419998,3.428443,1.414597,33722658
2006-02-15,3.428443,3.428443,3.394665,3.411554,1.407628,18701778
2006-02-16,3.411554,3.428443,3.394665,3.419998,1.411112,23884896
2006-02-17,3.436887,3.445331,3.394665,3.394665,1.400659,43701483
2006-02-20,3.428443,3.445331,3.394665,3.403109,1.425419,1796356
2006-02-21,3.419998,3.428443,3.394665,3.428443,1.436030,406540
2006-02-22,3.293332,3.301776,3.259554,3.284887,1.375900,59122837
2006-02-23,3.310220,3.327109,3.276443,3.284887,1.375900,47659538
2006-02-24,3.276443,3.284887,3.259554,3.267998,1.368827,35502986
2006-02-27,3.276443,3.301776,3.267998,3.301776,1.382974,29626429
2006-02-28,3.293332,3.301776,3.251109,3.251109,1.361752,27580551
2006-03-01,3.251109,3.259554,3.225776,3.242665,1.358215,24898273
2006-03-02,3.259554,3.284887,3.251109,3.284887,1.375900,21884636
2006-03-03,3.293332,3.301776,3.251109,3.259554,1.365289,26886643
2006-03-06,3.259554,3.276443,3.242665,3.276443,1.372364,16105106
2006-03-07,3.267998,3.284887,3.251109,3.259554,1.365289,18179413
2006-03-08,3.259554,3.267998,3.234220,3.234220,1.354678,28707368
2006-03-09,3.234220,3.242665,3.208887,3.234220,1.354678,25243830
2006-03-10,3.225776,3.225776,3.200443,3.217332,1.347605,31276286
2006-03-13,3.225776,3.242665,3.200443,3.234220,1.354678,29507061
2006-03-14,3.242665,3.284887,3.234220,3.259554,1.365289,52273650
2006-03-15,3.267998,3.284887,3.208887,3.225776,1.351141,38184440
2006-03-16,3.234220,3.242665,3.158220,3.183554,1.333456,76647905
2006-03-17,3.175109,3.175109,3.124443,3.132887,1.312234,64088030
2006-03-20,3.141332,3.158220,3.124443,3.124443,1.308697,41258380
2006-03-21,3.115998,3.115998,3.073776,3.090665,1.294549,70773778
2006-03-22,3.090665,3.124443,3.073776,3.115998,1.305160,50467221
2006-03-23,3.124443,3.149776,3.099109,3.124443,1.308697,39200823
2006-03-24,3.132887,3.141332,3.099109,3.124443,1.308697,30608803
2006-03-27,3.099109,3.115998,3.073776,3.099109,1.298086,37265395
2006-03-28,3.082220,3.082220,3.056887,3.065332,1.283938,43865932
2006-03-29,3.056887,3.073776,3.039998,3.065332,1.283938,56967782
2006-03-30,3.090665,3.175109,3.090665,3.158220,1.322845,102171290
2006-03-31,3.166665,3.175109,3.107554,3.158220,1.322845,58028371
2006-04-03,3.158220,3.208887,3.158220,3.200443,1.340530,44117093
2006-04-04,3.208887,3.217332,3.132887,3.158220,1.322845,48086919
2006-04-05,3.141332,3.149776,3.090665,3.115998,1.305160,28315678
2006-04-06,3.115998,3.132887,3.073776,3.107554,1.301623,68522536
2006-04-07,3.107554,3.115998,3.090665,3.107554,1.301623,16750263
2006-04-10,3.099109,3.107554,3.073776,3.090665,1.294549,19966505
2006-04-11,3.115998,3.149776,3.090665,3.090665,1.294549,47919486
2006-04-12,3.090665,3.099109,3.073776,3.082220,1.291011,17797486
2006-04-13,3.124443,3.141332,3.082220,3.099109,1.298086,24985989
2006-04-18,3.107554,3.124443,3.090665,3.099109,1.298086,29510763
2006-04-19,3.107554,3.115998,3.073776,3.099109,1.298086,34725909
2006-04-20,3.115998,3.175109,3.099109,3.166665,1.326382,68695175
2006-04-21,3.166665,3.200443,3.149776,3.200443,1.340530,38897769
2006-04-24,3.200443,3.217332,3.166665,3.175109,1.329919,23630930
2006-04-26,3.183554,3.234220,3.183554,3.225776,1.351141,63528420
2006-04-27,3.234220,3.293332,3.217332,3.276443,1.372364,91825634
2006-04-28,3.318665,3.394665,3.310220,3.327109,1.393585,106448897
2006-05-01,3.352443,3.360887,3.318665,3.352443,1.404197,31358317
2006-05-02,3.352443,3.377776,3.284887,3.310220,1.386512,49302725
2006-05-03,3.310220,3.310220,3.242665,3.242665,1.358215,46588243
2006-05-04,3.166665,3.225776,3.166665,3.191998,1.336993,53643147
2006-05-05,3.200443,3.251109,3.175109,3.251109,1.361752,39609735
2006-05-08,3.267998,3.284887,3.242665,3.259554,1.365289,34113464
2006-05-09,3.259554,3.276443,3.225776,3.242665,1.358215,29914463
2006-05-10,3.259554,3.267998,3.191998,3.208887,1.344067,27063375
2006-05-11,3.208887,3.225776,3.183554,3.200443,1.340530,23248764
2006-05-12,3.175109,3.191998,3.141332,3.175109,1.329919,36002752
2006-05-15,3.166665,3.200443,3.132887,3.200443,1.340530,35735859
2006-05-16,3.191998,3.217332,3.183554,3.200443,1.340530,30507193
2006-05-17,3.208887,3.259554,3.208887,3.225776,1.351141,48364432
2006-05-18,3.208887,3.267998,3.183554,3.242665,1.358215,57025912
2006-05-19,3.234220,3.284887,3.217332,3.234220,1.354678,38777477
2006-05-22,3.267998,3.284887,3.234220,3.234220,1.354678,33412944
2006-05-23,3.242665,3.242665,3.208887,3.234220,1.354678,22262198
2006-05-24,3.242665,3.242665,3.200443,3.225776,1.351141,27264333
2006-05-25,3.217332,3.225776,3.183554,3.200443,1.340530,49883737
2006-05-26,3.208887,3.217332,3.175109,3.191998,1.336993,34669491
2006-05-29,3.183554,3.200443,3.166665,3.175109,1.329919,13054524
2006-05-30,3.175109,3.183554,3.149776,3.149776,1.319308,20853515
2006-05-31,3.132887,3.158220,3.124443,3.132887,1.312234,41750514
2006-06-01,3.158220,3.183554,3.141332,3.175109,1.329919,35605489
2006-06-02,3.208887,3.217332,3.183554,3.200443,1.340530,47423292
2006-06-05,3.208887,3.225776,3.200443,3.208887,1.344067,22544644
2006-06-06,3.200443,3.225776,3.191998,3.225776,1.351141,34102730
2006-06-07,3.217332,3.225776,3.200443,3.208887,1.344067,22051820
2006-06-08,3.200443,3.208887,3.149776,3.149776,1.319308,38628228
2006-06-09,3.166665,3.191998,3.158220,3.166665,1.326382,36411854
2006-06-13,3.158220,3.175109,3.141332,3.141332,1.315771,31672258
2006-06-14,3.124443,3.149776,3.115998,3.132887,1.312234,37006342
2006-06-15,3.158220,3.175109,3.141332,3.149776,1.319308,73919156
2006-06-16,3.149776,3.158220,3.124443,3.141332,1.315771,28250589
2006-06-19,3.132887,3.141332,3.107554,3.115998,1.305160,38679886
2006-06-20,3.115998,3.115998,3.056887,3.073776,1.287475,54182745
2006-06-21,3.090665,3.124443,3.082220,3.115998,1.305160,43657586
2006-06-22,3.115998,3.132887,3.107554,3.124443,1.308697,32004564
2006-06-23,3.115998,3.124443,3.107554,3.107554,1.301623,24540276
2006-06-26,3.107554,3.115998,3.082220,3.090665,1.294549,33481159
2006-06-27,3.099109,3.115998,3.090665,3.099109,1.298086,39810189
2006-06-28,3.099109,3.115998,3.090665,3.115998,1.305160,34020084
2006-06-29,3.115998,3.141332,3.099109,3.115998,1.305160,36584957
2006-06-30,3.141332,3.141332,3.107554,3.107554,1.301623,83775358
2006-07-03,3.107554,3.115998,3.099109,3.099109,1.298086,18684625
2006-07-04,3.115998,3.158220,3.107554,3.149776,1.319308,35576531
2006-07-05,3.166665,3.191998,3.158220,3.166665,1.326382,15695274
2006-07-06,3.166665,3.183554,3.158220,3.166665,1.326382,30822350
2006-07-07,3.183554,3.183554,3.141332,3.166665,1.326382,24017177
2006-07-10,3.158220,3.208887,3.158220,3.191998,1.336993,24372121
2006-07-11,3.217332,3.251109,3.200443,3.242665,1.358215,31360829
2006-07-12,3.242665,3.276443,3.242665,3.267998,1.368827,22868038
2006-07-13,3.267998,3.267998,3.225776,3.234220,1.354678,28312083
2006-07-14,3.208887,3.267998,3.200443,3.242665,1.358215,36975884
2006-07-17,3.242665,3.251109,3.217332,3.234220,1.354678,15950341
2006-07-18,3.217332,3.242665,3.217332,3.217332,1.347605,14487278
2006-07-19,3.208887,3.217332,3.175109,3.191998,1.336993,32802798
2006-07-20,3.208887,3.225776,3.208887,3.208887,1.344067,19919990
2006-07-21,3.217332,3.234220,3.200443,3.225776,1.351141,32145610
2006-07-24,3.251109,3.276443,3.217332,3.225776,1.351141,20725402
2006-07-25,3.251109,3.259554,3.234220,3.242665,1.358215,21573407
2006-07-26,3.242665,3.242665,3.183554,3.200443,1.340530,35061877
2006-07-27,3.200443,3.208887,3.191998,3.208887,1.344067,28397032
2006-07-28,3.200443,3.217332,3.175109,3.200443,1.340530,43532405
2006-07-31,3.208887,3.225776,3.200443,3.225776,1.351141,27382815
2006-08-01,3.217332,3.267998,3.208887,3.251109,1.361752,49092255
2006-08-02,3.267998,3.284887,3.242665,3.267998,1.368827,44346951
2006-08-03,3.284887,3.327109,3.276443,3.327109,1.393585,42878412
2006-08-04,3.327109,3.343998,3.267998,3.276443,1.372364,59927962
2006-08-07,3.284887,3.293332,3.183554,3.208887,1.344067,71886730
2006-08-08,3.191998,3.259554,3.183554,3.242665,1.358215,49200080
2006-08-09,3.225776,3.242665,3.208887,3.208887,1.344067,42917869
2006-08-10,3.200443,3.234220,3.175109,3.208887,1.344067,53242305
2006-08-11,3.191998,3.200443,3.166665,3.175109,1.329919,52703569
2006-08-14,3.124443,3.141332,3.073776,3.099109,1.298086,82896842
2006-08-15,3.082220,3.099109,3.048443,3.056887,1.280401,102329071
2006-08-16,3.082220,3.099109,3.048443,3.056887,1.280401,71708525
2006-08-17,3.073776,3.082220,3.048443,3.065332,1.283938,29436791
2006-08-18,3.056887,3.073776,3.048443,3.065332,1.283938,42085692
2006-08-21,3.149776,3.149776,3.082220,3.090665,1.346479,296862
2006-08-22,3.082220,3.082220,3.031554,3.048443,1.328085,253676
2006-08-23,2.921776,2.980887,2.921776,2.963998,1.291296,37641645
2006-08-24,2.972443,3.006221,2.955554,2.955554,1.287616,55195210
2006-08-25,2.972443,2.972443,2.938665,2.955554,1.287616,47937549
2006-08-28,2.963998,2.989332,2.896443,2.955554,1.287616,96660221
2006-08-29,2.963998,2.997776,2.955554,2.997776,1.306011,38131653
2006-08-30,3.023109,3.039998,2.997776,3.031554,1.320727,72749234
2006-08-31,3.031554,3.048443,3.014665,3.039998,1.324406,33707836
2006-09-01,3.039998,3.048443,3.014665,3.023109,1.317048,23698611
2006-09-04,3.039998,3.065332,3.031554,3.056887,1.331764,18450135
2006-09-05,3.056887,3.073776,3.039998,3.073776,1.339121,20404235
2006-09-06,3.065332,3.090665,3.031554,3.031554,1.320727,29479222
2006-09-07,3.014665,3.048443,3.014665,3.023109,1.317048,19304489
